category_min_id,category_min_name
1,DMP用＞ウォーターサーバー
2,DMP用＞ファッション
3,DMP用＞育毛剤
4,DMP用＞カラコン
5,【AT】美容商品
6,FX＞バイナリー
7,FX＞MT４
8,FX＞裁量
9,FX＞ミラー
10,FX＞特殊
11,FX＞FX　Point
12,FX＞くりっく365
13,FX＞その他（FX）
14,証券＞証券
15,証券＞CFD
16,キャッシング＞銀行
17,キャッシング＞消費者金融
18,クレジットカード＞信販・クレジットカード会社
19,キャッシング＞その他（キャッシング）
20,その他＞法人専用
21,DMP用＞美容商品
22,DMP用＞ダイエット
23,ウォーターサーバー＞ウォーターサーバー
24,食品宅配＞野菜宅配
25,コンタクトレンズ＞クリアコンタクト
26,コンタクトレンズ＞カラコン
27,ファッション＞レディースファッション
28,ファッション＞キッズファッション
29,ファッション＞メンズファッション
30,美容＞美白（日焼け）
31,美容＞ニキビ
32,美容＞美容液
33,美容＞妊娠線クリーム
34,育毛＞女性用ヘアケア
35,美容＞オールインワン
36,健康食品＞その他健康食品・サプリ
37,酵素サプリ
38,すっぽんサプリ
39,健康食品＞DHA
40,健康食品＞血糖値
41,健康食品＞ブルーベリー
42,健康食品＞グルコサミン
43,健康食品＞PMS
44,健康食品＞青汁
45,健康食品＞便秘茶
46,美容＞プラセンタ
47,健康食品＞精力剤
48,健康食品＞筋肉サプリ
49,健康食品＞口臭サプリ
50,健康食品＞酵素ドリンク
51,健康食品＞スムージー
52,育毛＞育毛サプリ
53,ダイエット＞ダイエット
54,美容＞コラーゲン
55,美容＞バストアップ
56,健康食品＞乳酸菌
57,健康食品＞水素水
58,健康食品＞葉酸サプリ
59,制汗
60,バストアップクリーム
61,美容＞黒ずみ
62,白髪染め＞白髪染め
63,消臭＞臭い（制汗）
64,保険＞自動車保険
65,保険＞その他（生命保険）
66,保険＞その他（損害保険）
67,保険＞バイク保険
68,保険＞ペット保険
69,保険＞医療保険
70,保険＞火災保険
71,保険＞生命保険
72,保険＞保険相談
73,ローン＞教育ローン
74,ローン＞その他（ローン）
75,ローン＞フリーローン
76,ローン＞銀行口座開設
77,ローン＞自動車ローン
78,ローン＞住宅ローン
79,クレジットカード＞年会費無料系
80,クレジットカード＞ガソリン系
81,クレジットカード＞航空系
82,クレジットカード＞交通系
83,キャッシング＞その他（キャッシング）
84,キャッシング＞信販銀行系
85,キャッシング＞デビットカード
86,クレジットカード＞流通系
87,集客支援＞WEB集客＞SEO
88,集客支援＞WEB集客＞カート
89,BtoB
90,探偵＞探偵事務所
91,探偵＞斡旋業
92,士業＞債務整理＞弁護士事務所
93,士業＞債務整理＞司法書士事務所
94,士業＞債務整理＞斡旋業
95,士業＞闇金
96,士業＞時効援用
97,士業＞相続
98,士業＞その他
99,クリーニング＞宅配クリーニング
100,家事代行＞家事代行業者
101,家事代行＞斡旋業
102,通信＞携帯＞SIM
103,冠婚葬祭＞葬儀＞葬儀会社
104,冠婚葬祭＞葬儀＞斡旋業
105,冠婚葬祭＞葬儀＞仏具
106,セキュリティー＞警備会社
107,治験＞治験会社
108,リサーチ＞リサーチ会社＞モニター
109,リサーチ＞リサーチ会社＞リサーチ
110,買取＞ブランド
111,買取＞ジュエリー
112,買取＞貴金属
113,買取＞本
114,買取＞DVD
115,買取＞CD
116,買取＞ゲーム
117,買取＞フィギュア
118,買取＞おもちゃ
119,買取＞携帯
120,買取＞総合
121,買取＞斡旋業
122,引越し＞引越し会社
123,引越し＞斡旋業
124,電力＞電気
