category_min_id,week_num,region,cl_cnt
1,1,Tokyo,21550
1,2,Tokyo,26003
1,3,Tokyo,24871
1,4,Tokyo,24610
1,5,Tokyo,26869
1,6,Tokyo,26516
1,7,Tokyo,24439
1,8,Tokyo,25008
1,9,Tokyo,23414
1,10,Tokyo,23379
1,11,Tokyo,21818
1,12,Tokyo,24196
1,13,Tokyo,24019
1,14,Tokyo,25069
1,15,Tokyo,25538
1,16,Tokyo,30329
1,17,Tokyo,32767
1,18,Tokyo,28907
1,19,Tokyo,36104
1,20,Tokyo,39840
1,21,Tokyo,39389
1,22,Tokyo,40610
1,23,Tokyo,37947
1,24,Tokyo,37420
1,25,Tokyo,38950
1,26,Tokyo,33284
1,27,Tokyo,26680
1,28,Tokyo,25339
1,29,Tokyo,25576
1,30,Tokyo,22502
1,31,Tokyo,23751
1,32,Tokyo,23650
1,33,Tokyo,23859
1,34,Tokyo,25998
1,35,Tokyo,25686
1,36,Tokyo,22641
1,37,Tokyo,22860
1,38,Tokyo,20761
1,39,Tokyo,20022
1,40,Tokyo,18845
1,41,Tokyo,18767
1,42,Tokyo,16863
1,43,Tokyo,15882
1,44,Tokyo,14709
1,45,Tokyo,17783
1,46,Tokyo,17783
2,1,Niigata,44623
2,1,Tokyo,378801
2,2,Niigata,32586
2,2,Tokyo,303869
2,3,Niigata,30908
2,3,Tokyo,218337
2,4,Niigata,31881
2,4,Tokyo,202897
2,5,Niigata,34348
2,5,Tokyo,179945
2,6,Niigata,34672
2,6,Tokyo,182848
2,7,Niigata,30036
2,7,Tokyo,158019
2,8,Niigata,30519
2,8,Tokyo,185044
2,9,Niigata,30889
2,9,Tokyo,193930
2,10,Niigata,29905
2,10,Tokyo,198434
2,11,Niigata,25537
2,11,Tokyo,162796
2,12,Niigata,26810
2,12,Tokyo,168591
2,13,Niigata,22826
2,13,Tokyo,176710
2,14,Niigata,23646
2,14,Tokyo,170140
2,15,Niigata,19976
2,15,Tokyo,174709
2,16,Niigata,23409
2,16,Tokyo,214963
2,17,Niigata,22443
2,17,Tokyo,182496
2,18,Niigata,26335
2,18,Tokyo,184754
2,19,Niigata,23195
2,19,Tokyo,193992
2,20,Niigata,22890
2,20,Tokyo,292346
2,21,Niigata,20880
2,21,Tokyo,178167
2,22,Niigata,22604
2,22,Tokyo,178823
2,23,Niigata,24422
2,23,Tokyo,167453
2,24,Niigata,22994
2,24,Tokyo,143966
2,25,Niigata,24103
2,25,Tokyo,140426
2,26,Niigata,24805
2,26,Tokyo,209901
2,27,Niigata,23138
2,27,Tokyo,179739
2,28,Niigata,22108
2,28,Tokyo,194350
2,29,Niigata,24229
2,29,Tokyo,199181
2,30,Niigata,22453
2,30,Tokyo,121855
2,31,Niigata,20113
2,31,Tokyo,137566
2,32,Niigata,14997
2,32,Tokyo,103230
2,33,Niigata,17300
2,33,Tokyo,99935
2,34,Niigata,17277
2,34,Tokyo,100660
2,35,Niigata,20165
2,35,Tokyo,122007
2,36,Niigata,22330
2,36,Tokyo,102653
2,37,Niigata,23191
2,37,Tokyo,142487
2,38,Niigata,23379
2,38,Tokyo,145157
2,39,Niigata,29205
2,39,Tokyo,111326
2,40,Niigata,31431
2,40,Tokyo,106050
2,41,Niigata,29550
2,41,Tokyo,120601
2,42,Niigata,29043
2,42,Tokyo,125477
2,43,Niigata,22857
2,43,Tokyo,115382
2,44,Niigata,21792
2,44,Tokyo,136442
2,45,Niigata,25579
2,45,Tokyo,128106
2,46,Niigata,27493
2,46,Tokyo,134459
3,1,Niigata,1189
3,1,Tokyo,14548
3,2,Niigata,1089
3,2,Tokyo,14360
3,3,Niigata,1057
3,3,Tokyo,13995
3,4,Niigata,1028
3,4,Tokyo,17348
3,5,Niigata,948
3,5,Tokyo,17337
3,6,Niigata,1120
3,6,Tokyo,15300
3,7,Niigata,914
3,7,Tokyo,15365
3,8,Niigata,893
3,8,Tokyo,15395
3,9,Niigata,846
3,9,Tokyo,13592
3,10,Niigata,796
3,10,Tokyo,13188
3,11,Niigata,854
3,11,Tokyo,16336
3,12,Niigata,854
3,12,Tokyo,17067
3,13,Niigata,717
3,13,Tokyo,16783
3,14,Niigata,780
3,14,Tokyo,16814
3,15,Niigata,684
3,15,Tokyo,17523
3,16,Niigata,737
3,16,Tokyo,18326
3,17,Niigata,752
3,17,Tokyo,15661
3,18,Niigata,833
3,18,Tokyo,17151
3,19,Niigata,1331
3,19,Tokyo,19762
3,20,Niigata,842
3,20,Tokyo,16864
3,21,Niigata,787
3,21,Tokyo,17413
3,22,Niigata,794
3,22,Tokyo,18228
3,23,Niigata,760
3,23,Tokyo,17465
3,24,Niigata,817
3,24,Tokyo,18122
3,25,Niigata,714
3,25,Tokyo,20010
3,26,Niigata,731
3,26,Tokyo,24310
3,27,Niigata,690
3,27,Tokyo,19736
3,28,Niigata,656
3,28,Tokyo,19766
3,29,Niigata,654
3,29,Tokyo,23182
3,30,Niigata,877
3,30,Tokyo,22886
3,31,Niigata,847
3,31,Tokyo,20711
3,32,Niigata,696
3,32,Tokyo,20779
3,33,Niigata,773
3,33,Tokyo,24939
3,34,Niigata,778
3,34,Tokyo,23446
3,35,Niigata,651
3,35,Tokyo,25758
3,36,Niigata,501
3,36,Tokyo,26567
3,37,Niigata,544
3,37,Tokyo,29155
3,38,Niigata,526
3,38,Tokyo,27091
3,39,Niigata,643
3,39,Tokyo,25973
3,40,Niigata,516
3,40,Tokyo,26942
3,41,Niigata,585
3,41,Tokyo,27752
3,42,Niigata,464
3,42,Tokyo,25766
3,43,Niigata,522
3,43,Tokyo,37156
3,44,Niigata,541
3,44,Tokyo,23410
3,45,Niigata,490
3,45,Tokyo,27027
3,46,Niigata,477
3,46,Tokyo,23601
4,1,Niigata,17281
4,1,Tokyo,88307
4,2,Niigata,16616
4,2,Tokyo,79657
4,3,Niigata,17431
4,3,Tokyo,81083
4,4,Niigata,16978
4,4,Tokyo,92407
4,5,Niigata,18525
4,5,Tokyo,79663
4,6,Niigata,18124
4,6,Tokyo,72223
4,7,Niigata,16076
4,7,Tokyo,71087
4,8,Niigata,17733
4,8,Tokyo,83221
4,9,Niigata,17503
4,9,Tokyo,81055
4,10,Niigata,16677
4,10,Tokyo,75955
4,11,Niigata,15004
4,11,Tokyo,71267
4,12,Niigata,14102
4,12,Tokyo,75274
4,13,Niigata,13854
4,13,Tokyo,74559
4,14,Niigata,14729
4,14,Tokyo,79984
4,15,Niigata,13989
4,15,Tokyo,64210
4,16,Niigata,13998
4,16,Tokyo,70260
4,17,Niigata,12054
4,17,Tokyo,67824
4,18,Niigata,11059
4,18,Tokyo,62852
4,19,Niigata,11453
4,19,Tokyo,66012
4,20,Niigata,12487
4,20,Tokyo,67601
4,21,Niigata,11151
4,21,Tokyo,56131
4,22,Niigata,12854
4,22,Tokyo,59164
4,23,Niigata,11846
4,23,Tokyo,65270
4,24,Niigata,12582
4,24,Tokyo,71677
4,25,Niigata,11737
4,25,Tokyo,73634
4,26,Niigata,11690
4,26,Tokyo,84989
4,27,Niigata,11005
4,27,Tokyo,82468
4,28,Niigata,10680
4,28,Tokyo,66731
4,29,Niigata,10390
4,29,Tokyo,70046
4,30,Niigata,11195
4,30,Tokyo,80646
4,31,Niigata,11351
4,31,Tokyo,90592
4,32,Niigata,10615
4,32,Tokyo,83163
4,33,Niigata,10238
4,33,Tokyo,78594
4,34,Niigata,11063
4,34,Tokyo,75732
4,35,Niigata,12448
4,35,Tokyo,61686
4,36,Niigata,13486
4,36,Tokyo,54573
4,37,Niigata,12983
4,37,Tokyo,69480
4,38,Niigata,12000
4,38,Tokyo,70344
4,39,Niigata,11948
4,39,Tokyo,66878
4,40,Niigata,13337
4,40,Tokyo,67567
4,41,Niigata,13268
4,41,Tokyo,66263
4,42,Niigata,13458
4,42,Tokyo,51206
4,43,Niigata,12301
4,43,Tokyo,47254
4,44,Niigata,11313
4,44,Tokyo,52061
4,45,Niigata,11456
4,45,Tokyo,69935
4,46,Niigata,11303
4,46,Tokyo,65335
5,1,Niigata,25997
5,1,Tokyo,57949
5,2,Niigata,26279
5,2,Tokyo,58085
5,3,Niigata,25176
5,3,Tokyo,67618
5,4,Niigata,25408
5,4,Tokyo,65092
5,5,Niigata,25412
5,5,Tokyo,64510
5,6,Niigata,25021
5,6,Tokyo,72060
5,7,Niigata,20588
5,7,Tokyo,78044
5,8,Niigata,21898
5,8,Tokyo,76429
5,9,Niigata,21675
5,9,Tokyo,76374
5,10,Niigata,22772
5,10,Tokyo,79732
5,11,Niigata,21049
5,11,Tokyo,68109
5,12,Niigata,21562
5,12,Tokyo,64539
5,13,Niigata,17676
5,13,Tokyo,65010
5,14,Niigata,18763
5,14,Tokyo,70527
5,15,Niigata,18219
5,15,Tokyo,69770
5,16,Niigata,20675
5,16,Tokyo,68008
5,17,Niigata,20204
5,17,Tokyo,60435
5,18,Niigata,20665
5,18,Tokyo,67522
5,19,Niigata,22995
5,19,Tokyo,68018
5,20,Niigata,22334
5,20,Tokyo,64041
5,21,Niigata,20641
5,21,Tokyo,63833
5,22,Niigata,19101
5,22,Tokyo,64884
5,23,Niigata,19409
5,23,Tokyo,65152
5,24,Niigata,18964
5,24,Tokyo,68279
5,25,Niigata,18242
5,25,Tokyo,69981
5,26,Niigata,18675
5,26,Tokyo,69788
5,27,Niigata,22896
5,27,Tokyo,59432
5,28,Niigata,15882
5,28,Tokyo,58370
5,29,Niigata,15608
5,29,Tokyo,61293
5,30,Niigata,15742
5,30,Tokyo,59925
5,31,Niigata,15072
5,31,Tokyo,62778
5,32,Niigata,13751
5,32,Tokyo,60293
5,33,Niigata,15589
5,33,Tokyo,70165
5,34,Niigata,16879
5,34,Tokyo,70073
5,35,Niigata,15666
5,35,Tokyo,68860
5,36,Niigata,15788
5,36,Tokyo,68631
5,37,Niigata,14791
5,37,Tokyo,68615
5,38,Niigata,15061
5,38,Tokyo,67960
5,39,Niigata,15003
5,39,Tokyo,67061
5,40,Niigata,13200
5,40,Tokyo,66439
5,41,Niigata,15713
5,41,Tokyo,70146
5,42,Niigata,14443
5,42,Tokyo,64867
5,43,Niigata,13193
5,43,Tokyo,64295
5,44,Niigata,12313
5,44,Tokyo,60980
5,45,Niigata,13608
5,45,Tokyo,61809
5,46,Niigata,13992
5,46,Tokyo,62536
6,1,Niigata,73
6,1,Tokyo,44
6,2,Niigata,93
6,2,Tokyo,47
6,3,Niigata,74
6,3,Tokyo,40
6,4,Niigata,74
6,4,Tokyo,39
6,5,Niigata,95
6,5,Tokyo,37
6,6,Niigata,82
6,6,Tokyo,68
6,7,Niigata,75
6,7,Tokyo,46
6,8,Niigata,84
6,8,Tokyo,32
6,9,Niigata,72
6,9,Tokyo,27
6,10,Niigata,93
6,10,Tokyo,38
6,11,Niigata,110
6,11,Tokyo,39
6,12,Niigata,67
6,12,Tokyo,43
6,13,Niigata,64
6,13,Tokyo,41
6,14,Niigata,75
6,14,Tokyo,36
6,15,Niigata,70
6,15,Tokyo,44
6,16,Niigata,84
6,16,Tokyo,36
6,17,Niigata,93
6,17,Tokyo,24
6,18,Niigata,88
6,18,Tokyo,28
6,19,Niigata,83
6,19,Tokyo,25
6,20,Niigata,68
6,20,Tokyo,21
6,21,Niigata,55
6,21,Tokyo,17
6,22,Niigata,70
6,22,Tokyo,32
6,23,Niigata,53
6,23,Tokyo,28
6,24,Niigata,56
6,24,Tokyo,34
6,25,Niigata,65
6,25,Tokyo,155
6,26,Niigata,51
6,26,Tokyo,49
6,27,Niigata,58
6,27,Tokyo,55
6,28,Niigata,67
6,28,Tokyo,32
6,29,Niigata,59
6,29,Tokyo,57
6,30,Niigata,52
6,30,Tokyo,20
6,31,Niigata,58
6,31,Tokyo,101
6,32,Niigata,58
6,32,Tokyo,98
6,33,Niigata,70
6,33,Tokyo,75
6,34,Niigata,74
6,34,Tokyo,119
6,35,Niigata,63
6,35,Tokyo,69
6,36,Niigata,17
6,36,Tokyo,78
6,37,Niigata,15
6,37,Tokyo,143
6,38,Niigata,12
6,38,Tokyo,99
6,39,Niigata,28
6,39,Tokyo,94
6,40,Niigata,40
6,40,Tokyo,56
6,41,Niigata,27
6,41,Tokyo,70
6,42,Niigata,20
6,42,Tokyo,78
6,43,Niigata,13
6,43,Tokyo,95
6,44,Niigata,12
6,44,Tokyo,66
6,45,Niigata,25
6,45,Tokyo,112
6,46,Niigata,22
6,46,Tokyo,105
7,1,Niigata,579
7,1,Tokyo,140
7,2,Niigata,901
7,2,Tokyo,161
7,3,Niigata,821
7,3,Tokyo,205
7,4,Niigata,911
7,4,Tokyo,212
7,5,Niigata,986
7,5,Tokyo,161
7,6,Niigata,1310
7,6,Tokyo,174
7,7,Niigata,1502
7,7,Tokyo,190
7,8,Niigata,1170
7,8,Tokyo,202
7,9,Niigata,1094
7,9,Tokyo,226
7,10,Niigata,1013
7,10,Tokyo,189
7,11,Niigata,853
7,11,Tokyo,217
7,12,Niigata,924
7,12,Tokyo,183
7,13,Niigata,909
7,13,Tokyo,170
7,14,Niigata,1065
7,14,Tokyo,198
7,15,Niigata,890
7,15,Tokyo,144
7,16,Niigata,940
7,16,Tokyo,161
7,17,Niigata,935
7,17,Tokyo,192
7,18,Niigata,1087
7,18,Tokyo,187
7,19,Niigata,1017
7,19,Tokyo,156
7,20,Niigata,922
7,20,Tokyo,190
7,21,Niigata,874
7,21,Tokyo,221
7,22,Niigata,907
7,22,Tokyo,268
7,23,Niigata,767
7,23,Tokyo,250
7,24,Niigata,973
7,24,Tokyo,214
7,25,Niigata,934
7,25,Tokyo,141
7,26,Niigata,955
7,26,Tokyo,172
7,27,Niigata,1028
7,27,Tokyo,185
7,28,Niigata,908
7,28,Tokyo,175
7,29,Niigata,966
7,29,Tokyo,163
7,30,Niigata,794
7,30,Tokyo,193
7,31,Niigata,1197
7,31,Tokyo,277
7,32,Niigata,1245
7,32,Tokyo,265
7,33,Niigata,1407
7,33,Tokyo,210
7,34,Niigata,1539
7,34,Tokyo,241
7,35,Niigata,1161
7,35,Tokyo,263
7,36,Niigata,914
7,36,Tokyo,248
7,37,Niigata,1198
7,37,Tokyo,248
7,38,Niigata,1157
7,38,Tokyo,192
7,39,Niigata,888
7,39,Tokyo,190
7,40,Niigata,868
7,40,Tokyo,168
7,41,Niigata,818
7,41,Tokyo,168
7,42,Niigata,803
7,42,Tokyo,247
7,43,Niigata,2088
7,43,Tokyo,210
7,44,Niigata,2237
7,44,Tokyo,221
7,45,Niigata,1497
7,45,Tokyo,194
7,46,Niigata,895
7,46,Tokyo,239
8,1,Niigata,5214
8,1,Tokyo,19369
8,2,Niigata,6618
8,2,Tokyo,21169
8,3,Niigata,5870
8,3,Tokyo,19545
8,4,Niigata,5837
8,4,Tokyo,20694
8,5,Niigata,6140
8,5,Tokyo,20181
8,6,Niigata,6329
8,6,Tokyo,19685
8,7,Niigata,6688
8,7,Tokyo,17538
8,8,Niigata,5887
8,8,Tokyo,15490
8,9,Niigata,6139
8,9,Tokyo,16129
8,10,Niigata,5666
8,10,Tokyo,17050
8,11,Niigata,4639
8,11,Tokyo,16044
8,12,Niigata,5749
8,12,Tokyo,16525
8,13,Niigata,5177
8,13,Tokyo,17720
8,14,Niigata,5849
8,14,Tokyo,16816
8,15,Niigata,5743
8,15,Tokyo,16989
8,16,Niigata,4948
8,16,Tokyo,16004
8,17,Niigata,4895
8,17,Tokyo,16757
8,18,Niigata,6138
8,18,Tokyo,16133
8,19,Niigata,5339
8,19,Tokyo,17780
8,20,Niigata,4595
8,20,Tokyo,17161
8,21,Niigata,4262
8,21,Tokyo,14202
8,22,Niigata,4032
8,22,Tokyo,14843
8,23,Niigata,3916
8,23,Tokyo,14995
8,24,Niigata,4257
8,24,Tokyo,13458
8,25,Niigata,4153
8,25,Tokyo,12751
8,26,Niigata,4433
8,26,Tokyo,12884
8,27,Niigata,5021
8,27,Tokyo,14087
8,28,Niigata,4722
8,28,Tokyo,13394
8,29,Niigata,4264
8,29,Tokyo,13462
8,30,Niigata,4053
8,30,Tokyo,13647
8,31,Niigata,4773
8,31,Tokyo,15435
8,32,Niigata,4609
8,32,Tokyo,14987
8,33,Niigata,4972
8,33,Tokyo,14724
8,34,Niigata,5429
8,34,Tokyo,15407
8,35,Niigata,5144
8,35,Tokyo,15643
8,36,Niigata,4785
8,36,Tokyo,16109
8,37,Niigata,5157
8,37,Tokyo,16470
8,38,Niigata,5257
8,38,Tokyo,15961
8,39,Niigata,5558
8,39,Tokyo,15458
8,40,Niigata,4698
8,40,Tokyo,15450
8,41,Niigata,4592
8,41,Tokyo,15557
8,42,Niigata,4973
8,42,Tokyo,15438
8,43,Niigata,5907
8,43,Tokyo,15234
8,44,Niigata,5688
8,44,Tokyo,15248
8,45,Niigata,4790
8,45,Tokyo,17855
8,46,Niigata,4294
8,46,Tokyo,17611
9,1,Niigata,1626
9,1,Tokyo,3456
9,2,Niigata,2440
9,2,Tokyo,4047
9,3,Niigata,1827
9,3,Tokyo,3393
9,4,Niigata,1559
9,4,Tokyo,3106
9,5,Niigata,1800
9,5,Tokyo,3138
9,6,Niigata,1673
9,6,Tokyo,2971
9,7,Niigata,1518
9,7,Tokyo,2815
9,8,Niigata,1326
9,8,Tokyo,2483
9,9,Niigata,1604
9,9,Tokyo,2520
9,10,Niigata,777
9,10,Tokyo,2353
9,11,Niigata,589
9,11,Tokyo,1787
9,12,Niigata,1097
9,12,Tokyo,1823
9,13,Niigata,773
9,13,Tokyo,1547
9,14,Niigata,660
9,14,Tokyo,1432
9,15,Niigata,941
9,15,Tokyo,2311
9,16,Niigata,727
9,16,Tokyo,1316
9,17,Niigata,673
9,17,Tokyo,1684
9,18,Niigata,1086
9,18,Tokyo,1759
9,19,Niigata,1075
9,19,Tokyo,1729
9,20,Niigata,613
9,20,Tokyo,2164
9,21,Niigata,553
9,21,Tokyo,1860
9,22,Niigata,614
9,22,Tokyo,1978
9,23,Niigata,515
9,23,Tokyo,1829
9,24,Niigata,668
9,24,Tokyo,1925
9,25,Niigata,548
9,25,Tokyo,2080
9,26,Niigata,939
9,26,Tokyo,1783
9,27,Niigata,1013
9,27,Tokyo,2039
9,28,Niigata,834
9,28,Tokyo,2082
9,29,Niigata,803
9,29,Tokyo,1886
9,30,Niigata,454
9,30,Tokyo,1740
9,31,Niigata,418
9,31,Tokyo,1843
9,32,Niigata,844
9,32,Tokyo,1705
9,33,Niigata,680
9,33,Tokyo,1663
9,34,Niigata,770
9,34,Tokyo,1867
9,35,Niigata,535
9,35,Tokyo,1794
9,36,Niigata,485
9,36,Tokyo,1750
9,37,Niigata,500
9,37,Tokyo,2229
9,38,Niigata,539
9,38,Tokyo,2216
9,39,Niigata,991
9,39,Tokyo,2041
9,40,Niigata,525
9,40,Tokyo,1998
9,41,Niigata,785
9,41,Tokyo,2108
9,42,Niigata,585
9,42,Tokyo,2087
9,43,Niigata,473
9,43,Tokyo,1446
9,44,Niigata,384
9,44,Tokyo,1314
9,45,Niigata,526
9,45,Tokyo,1545
9,46,Niigata,483
9,46,Tokyo,1677
10,1,Tokyo,8610
10,2,Tokyo,8660
10,3,Tokyo,7150
10,4,Tokyo,6913
10,5,Tokyo,6661
10,6,Tokyo,7118
10,7,Tokyo,6788
10,8,Tokyo,7530
10,9,Tokyo,6842
10,10,Tokyo,6041
10,11,Tokyo,6922
10,12,Tokyo,7293
10,13,Tokyo,6043
10,14,Tokyo,6969
10,15,Tokyo,7394
10,16,Tokyo,6601
10,17,Tokyo,7113
10,18,Tokyo,7096
10,19,Tokyo,6626
10,20,Tokyo,4595
10,21,Tokyo,4550
10,22,Tokyo,5062
10,23,Tokyo,4990
10,24,Tokyo,5055
10,25,Tokyo,6732
10,26,Tokyo,6857
10,27,Tokyo,7041
10,28,Tokyo,6539
10,29,Tokyo,7475
10,30,Tokyo,6642
10,31,Tokyo,7268
10,32,Tokyo,7064
10,33,Tokyo,7578
10,34,Tokyo,7293
10,35,Tokyo,7485
10,36,Tokyo,7411
10,37,Tokyo,7807
10,38,Tokyo,7837
10,39,Tokyo,7802
10,40,Tokyo,9046
10,41,Tokyo,7227
10,42,Tokyo,7784
10,43,Tokyo,7266
10,44,Tokyo,7038
10,45,Tokyo,8122
10,46,Tokyo,6064
12,1,Niigata,146
12,1,Tokyo,335
12,2,Niigata,173
12,2,Tokyo,544
12,3,Niigata,162
12,3,Tokyo,334
12,4,Niigata,189
12,4,Tokyo,306
12,5,Niigata,167
12,5,Tokyo,399
12,6,Niigata,185
12,6,Tokyo,328
12,7,Niigata,160
12,7,Tokyo,253
12,8,Niigata,148
12,8,Tokyo,233
12,9,Niigata,147
12,9,Tokyo,285
12,10,Niigata,168
12,10,Tokyo,280
12,11,Niigata,140
12,11,Tokyo,243
12,12,Niigata,138
12,12,Tokyo,325
12,13,Niigata,183
12,13,Tokyo,299
12,14,Niigata,184
12,14,Tokyo,283
12,15,Niigata,164
12,15,Tokyo,268
12,16,Niigata,121
12,16,Tokyo,246
12,17,Niigata,145
12,17,Tokyo,262
12,18,Niigata,139
12,18,Tokyo,265
12,19,Niigata,154
12,19,Tokyo,258
12,20,Niigata,132
12,20,Tokyo,214
12,21,Niigata,175
12,21,Tokyo,160
12,22,Niigata,140
12,22,Tokyo,202
12,23,Niigata,187
12,23,Tokyo,199
12,24,Niigata,185
12,24,Tokyo,202
12,25,Niigata,136
12,25,Tokyo,231
12,26,Niigata,147
12,26,Tokyo,268
12,27,Niigata,217
12,27,Tokyo,335
12,28,Niigata,165
12,28,Tokyo,350
12,29,Niigata,184
12,29,Tokyo,254
12,30,Niigata,182
12,30,Tokyo,289
12,31,Niigata,157
12,31,Tokyo,361
12,32,Niigata,102
12,32,Tokyo,327
12,33,Niigata,107
12,33,Tokyo,340
12,34,Niigata,95
12,34,Tokyo,330
12,35,Niigata,108
12,35,Tokyo,251
12,36,Niigata,109
12,36,Tokyo,304
12,37,Niigata,113
12,37,Tokyo,299
12,38,Niigata,128
12,38,Tokyo,400
12,39,Niigata,104
12,39,Tokyo,361
12,40,Niigata,106
12,40,Tokyo,241
12,41,Niigata,124
12,41,Tokyo,332
12,42,Niigata,109
12,42,Tokyo,306
12,43,Niigata,85
12,43,Tokyo,286
12,44,Niigata,99
12,44,Tokyo,295
12,45,Niigata,118
12,45,Tokyo,299
12,46,Niigata,130
12,46,Tokyo,295
13,1,Niigata,39
13,1,Tokyo,8
13,2,Niigata,29
13,2,Tokyo,2
13,3,Niigata,37
13,4,Niigata,32
13,4,Tokyo,1
13,5,Niigata,29
13,6,Niigata,33
13,6,Tokyo,6
13,7,Niigata,29
13,7,Tokyo,6
13,8,Niigata,29
13,8,Tokyo,2
13,9,Niigata,22
13,9,Tokyo,1
13,10,Niigata,22
13,10,Tokyo,9
13,11,Niigata,32
13,11,Tokyo,3
13,12,Niigata,72
13,12,Tokyo,4
13,13,Niigata,13
13,13,Tokyo,3
13,14,Niigata,16
13,14,Tokyo,1
13,15,Niigata,10
13,15,Tokyo,1
13,16,Niigata,31
13,16,Tokyo,2
13,17,Niigata,31
13,18,Niigata,23
13,18,Tokyo,1
13,19,Niigata,14
13,20,Niigata,17
13,21,Niigata,19
13,21,Tokyo,2
13,22,Niigata,10
13,23,Niigata,14
13,24,Niigata,26
13,25,Niigata,22
13,26,Niigata,13
13,27,Niigata,12
13,28,Niigata,20
13,29,Niigata,23
13,30,Niigata,78
13,30,Tokyo,6
13,31,Niigata,76
13,31,Tokyo,3
13,32,Niigata,68
13,33,Niigata,87
13,33,Tokyo,6
13,34,Niigata,36
13,34,Tokyo,3
13,35,Niigata,12
13,35,Tokyo,2
13,36,Niigata,17
13,37,Niigata,14
13,38,Niigata,35
13,39,Niigata,65
13,40,Niigata,38
13,41,Niigata,43
13,42,Niigata,26
13,43,Niigata,24
13,44,Niigata,55
13,45,Niigata,51
13,46,Niigata,52
14,1,Niigata,434
14,1,Tokyo,25168
14,2,Niigata,468
14,2,Tokyo,25567
14,3,Niigata,448
14,3,Tokyo,26810
14,4,Niigata,458
14,4,Tokyo,24441
14,5,Niigata,412
14,5,Tokyo,24243
14,6,Niigata,418
14,6,Tokyo,25008
14,7,Niigata,363
14,7,Tokyo,25906
14,8,Niigata,317
14,8,Tokyo,25418
14,9,Niigata,390
14,9,Tokyo,25953
14,10,Niigata,427
14,10,Tokyo,23040
14,11,Niigata,328
14,11,Tokyo,18597
14,12,Niigata,353
14,12,Tokyo,17810
14,13,Niigata,304
14,13,Tokyo,17699
14,14,Niigata,258
14,14,Tokyo,16017
14,15,Niigata,211
14,15,Tokyo,14045
14,16,Niigata,145
14,16,Tokyo,14842
14,17,Niigata,133
14,17,Tokyo,13769
14,18,Niigata,138
14,18,Tokyo,13206
14,19,Niigata,213
14,19,Tokyo,18418
14,20,Niigata,184
14,20,Tokyo,20849
14,21,Niigata,154
14,21,Tokyo,21837
14,22,Niigata,159
14,22,Tokyo,23126
14,23,Niigata,190
14,23,Tokyo,25167
14,24,Niigata,168
14,24,Tokyo,23660
14,25,Niigata,169
14,25,Tokyo,26301
14,26,Niigata,169
14,26,Tokyo,25131
14,27,Niigata,276
14,27,Tokyo,25106
14,28,Niigata,206
14,28,Tokyo,21818
14,29,Niigata,142
14,29,Tokyo,23079
14,30,Niigata,152
14,30,Tokyo,24370
14,31,Niigata,206
14,31,Tokyo,21920
14,32,Niigata,186
14,32,Tokyo,17605
14,33,Niigata,271
14,33,Tokyo,24926
14,34,Niigata,246
14,34,Tokyo,22437
14,35,Niigata,293
14,35,Tokyo,23561
14,36,Niigata,366
14,36,Tokyo,25654
14,37,Niigata,304
14,37,Tokyo,29055
14,38,Niigata,306
14,38,Tokyo,27643
14,39,Niigata,324
14,39,Tokyo,28275
14,40,Niigata,385
14,40,Tokyo,23807
14,41,Niigata,379
14,41,Tokyo,25324
14,42,Niigata,352
14,42,Tokyo,26973
14,43,Niigata,321
14,43,Tokyo,27511
14,44,Niigata,335
14,44,Tokyo,23078
14,45,Niigata,355
14,45,Tokyo,27930
14,46,Niigata,289
14,46,Tokyo,25058
15,1,Niigata,181
15,1,Tokyo,1009
15,2,Niigata,222
15,2,Tokyo,1313
15,3,Niigata,172
15,3,Tokyo,1405
15,4,Niigata,211
15,4,Tokyo,1783
15,5,Niigata,148
15,5,Tokyo,1377
15,6,Niigata,195
15,6,Tokyo,1822
15,7,Niigata,172
15,7,Tokyo,1634
15,8,Niigata,174
15,8,Tokyo,1389
15,9,Niigata,219
15,9,Tokyo,1087
15,10,Niigata,179
15,10,Tokyo,1184
15,11,Niigata,147
15,11,Tokyo,2903
15,12,Niigata,113
15,12,Tokyo,2552
15,13,Niigata,103
15,13,Tokyo,2414
15,14,Niigata,139
15,14,Tokyo,1959
15,15,Niigata,121
15,15,Tokyo,1596
15,16,Niigata,89
15,16,Tokyo,1638
15,17,Niigata,99
15,17,Tokyo,1238
15,18,Niigata,133
15,18,Tokyo,2267
15,19,Niigata,137
15,19,Tokyo,1609
15,20,Niigata,113
15,20,Tokyo,1129
15,21,Niigata,131
15,21,Tokyo,1271
15,22,Niigata,112
15,22,Tokyo,1219
15,23,Niigata,123
15,23,Tokyo,1078
15,24,Niigata,122
15,24,Tokyo,992
15,25,Niigata,115
15,25,Tokyo,1127
15,26,Niigata,124
