category_min_id,week_num,cl_uu
1,1,10014
1,2,12218
1,3,12129
1,4,12091
1,5,13244
1,6,14295
1,7,13211
1,8,13303
1,9,11559
1,10,11774
1,11,11153
1,12,12050
1,13,11768
1,14,12008
1,15,12546
1,16,15106
1,17,16182
1,18,14422
1,19,17849
1,20,20348
1,21,20056
1,22,20270
1,23,19418
1,24,18954
1,25,19551
1,26,17219
1,27,14638
1,28,14388
1,29,14141
1,30,12672
1,31,13799
1,32,13834
1,33,13858
1,34,15288
1,35,15131
1,36,13062
1,37,13316
1,38,12088
1,39,11820
1,40,11262
1,41,11562
1,42,10215
1,43,10182
1,44,9227
1,45,10767
2,1,324236
2,2,250999
2,3,162781
2,4,169820
2,5,153993
2,6,158851
2,7,135174
2,8,159625
2,9,170483
2,10,172241
2,11,135312
2,12,140464
2,13,152591
2,14,133675
2,15,132604
2,16,175698
2,17,141379
2,18,144438
2,19,146628
2,20,248464
2,21,134757
2,22,148622
2,23,138380
2,24,117583
2,25,118481
2,26,170987
2,27,139212
2,28,155803
2,29,157501
2,30,100296
2,31,121322
2,32,77345
2,33,77783
2,34,80174
2,35,108736
2,36,85906
2,37,117219
2,38,115033
2,39,106116
2,40,93474
2,41,96947
2,42,103384
2,43,91736
2,44,115737
2,45,109812
3,1,11934
3,2,12020
3,3,11440
3,4,14031
3,5,14074
3,6,12489
3,7,12682
3,8,12946
3,9,11371
3,10,10890
3,11,13830
3,12,14555
3,13,13758
3,14,14265
3,15,14587
3,16,15163
3,17,12813
3,18,14428
3,19,16991
3,20,14251
3,21,14529
3,22,14784
3,23,14170
3,24,15139
3,25,16611
3,26,20308
3,27,16755
3,28,16509
3,29,19021
3,30,18447
3,31,16854
3,32,17118
3,33,20002
3,34,19291
3,35,20922
3,36,21748
3,37,24365
3,38,22118
3,39,20918
3,40,21747
3,41,21996
3,42,20252
3,43,32021
3,44,18213
3,45,21967
4,1,73226
4,2,65965
4,3,66158
4,4,77429
4,5,69067
4,6,64072
4,7,63041
4,8,73706
4,9,70568
4,10,65870
4,11,62130
4,12,66690
4,13,64748
4,14,70335
4,15,57313
