category_min_id,week_num,region,cv_uu
1,1,Tokyo,435
1,2,Tokyo,506
1,3,Tokyo,480
1,4,Tokyo,518
1,5,Tokyo,504
1,6,Tokyo,429
1,7,Tokyo,434
1,8,Tokyo,511
1,9,Tokyo,472
1,10,Tokyo,437
1,11,Tokyo,399
1,12,Tokyo,479
1,13,Tokyo,530
1,14,Tokyo,493
1,15,Tokyo,473
1,16,Tokyo,561
1,17,Tokyo,591
1,18,Tokyo,525
1,19,Tokyo,566
1,20,Tokyo,616
1,21,Tokyo,731
1,22,Tokyo,760
1,23,Tokyo,571
1,24,Tokyo,582
1,25,Tokyo,751
1,26,Tokyo,730
1,27,Tokyo,542
1,28,Tokyo,538
1,29,Tokyo,549
1,30,Tokyo,531
1,31,Tokyo,467
1,32,Tokyo,472
1,33,Tokyo,438
1,34,Tokyo,456
1,35,Tokyo,488
1,36,Tokyo,420
1,37,Tokyo,432
1,38,Tokyo,421
1,39,Tokyo,461
1,40,Tokyo,334
1,41,Tokyo,328
1,42,Tokyo,338
1,43,Tokyo,322
1,44,Tokyo,275
1,45,Tokyo,323
1,46,Tokyo,331
2,1,Niigata,1261
2,1,Tokyo,5593
2,2,Niigata,999
2,2,Tokyo,5382
2,3,Niigata,905
2,3,Tokyo,5678
2,4,Niigata,774
2,4,Tokyo,4376
2,5,Niigata,773
2,5,Tokyo,3798
2,6,Niigata,672
2,6,Tokyo,3407
2,7,Niigata,592
2,7,Tokyo,3938
2,8,Niigata,658
2,8,Tokyo,3918
2,9,Niigata,750
2,9,Tokyo,3418
2,10,Niigata,620
2,10,Tokyo,3645
2,11,Niigata,528
2,11,Tokyo,3531
2,12,Niigata,549
2,12,Tokyo,3647
2,13,Niigata,497
2,13,Tokyo,3105
2,14,Niigata,350
2,14,Tokyo,3362
2,15,Niigata,308
2,15,Tokyo,3177
2,16,Niigata,365
2,16,Tokyo,4515
2,17,Niigata,352
2,17,Tokyo,4282
2,18,Niigata,344
2,18,Tokyo,3451
2,19,Niigata,423
2,19,Tokyo,3749
2,20,Niigata,456
2,20,Tokyo,3968
2,21,Niigata,387
2,21,Tokyo,4419
2,22,Niigata,407
2,22,Tokyo,3361
2,23,Niigata,366
2,23,Tokyo,3826
2,24,Niigata,377
2,24,Tokyo,3788
2,25,Niigata,409
2,25,Tokyo,4033
2,26,Niigata,486
2,26,Tokyo,5029
2,27,Niigata,444
2,27,Tokyo,5148
2,28,Niigata,461
2,28,Tokyo,5053
2,29,Niigata,445
2,29,Tokyo,5157
2,30,Niigata,487
2,30,Tokyo,4196
2,31,Niigata,466
2,31,Tokyo,3409
2,32,Niigata,343
2,32,Tokyo,3541
2,33,Niigata,269
2,33,Tokyo,2338
2,34,Niigata,225
2,34,Tokyo,2667
2,35,Niigata,335
2,35,Tokyo,2297
2,36,Niigata,396
2,36,Tokyo,2243
2,37,Niigata,457
2,37,Tokyo,2391
2,38,Niigata,381
2,38,Tokyo,3367
2,39,Niigata,343
2,39,Tokyo,2862
2,40,Niigata,354
2,40,Tokyo,2576
2,41,Niigata,362
2,41,Tokyo,2612
2,42,Niigata,356
2,42,Tokyo,2706
2,43,Niigata,365
2,43,Tokyo,2795
2,44,Niigata,400
2,44,Tokyo,2543
2,45,Niigata,369
2,45,Tokyo,3062
2,46,Niigata,352
2,46,Tokyo,2761
3,1,Niigata,21
3,1,Tokyo,679
3,2,Niigata,30
3,2,Tokyo,640
3,3,Niigata,28
3,3,Tokyo,538
3,4,Niigata,19
3,4,Tokyo,571
3,5,Niigata,24
3,5,Tokyo,549
3,6,Niigata,29
3,6,Tokyo,500
3,7,Niigata,25
3,7,Tokyo,432
3,8,Niigata,18
3,8,Tokyo,458
3,9,Niigata,24
3,9,Tokyo,442
3,10,Niigata,15
3,10,Tokyo,393
3,11,Niigata,16
3,11,Tokyo,413
3,12,Niigata,13
3,12,Tokyo,458
3,13,Niigata,14
3,13,Tokyo,454
3,14,Niigata,12
3,14,Tokyo,468
3,15,Niigata,9
3,15,Tokyo,490
3,16,Niigata,17
3,16,Tokyo,521
3,17,Niigata,12
3,17,Tokyo,485
3,18,Niigata,19
3,18,Tokyo,481
3,19,Niigata,11
3,19,Tokyo,538
3,20,Niigata,17
3,20,Tokyo,499
3,21,Niigata,23
3,21,Tokyo,524
3,22,Niigata,27
3,22,Tokyo,565
3,23,Niigata,21
3,23,Tokyo,559
3,24,Niigata,25
3,24,Tokyo,565
3,25,Niigata,18
3,25,Tokyo,557
3,26,Niigata,15
3,26,Tokyo,657
3,27,Niigata,22
3,27,Tokyo,701
3,28,Niigata,10
3,28,Tokyo,659
3,29,Niigata,22
3,29,Tokyo,719
3,30,Niigata,8
3,30,Tokyo,709
3,31,Niigata,18
3,31,Tokyo,791
3,32,Niigata,16
3,32,Tokyo,773
3,33,Niigata,15
3,33,Tokyo,983
3,34,Niigata,14
3,34,Tokyo,890
3,35,Niigata,11
3,35,Tokyo,934
3,36,Niigata,15
3,36,Tokyo,927
3,37,Niigata,14
3,37,Tokyo,960
3,38,Niigata,13
3,38,Tokyo,918
3,39,Niigata,21
3,39,Tokyo,913
3,40,Niigata,10
3,40,Tokyo,922
3,41,Niigata,18
3,41,Tokyo,1023
3,42,Niigata,13
3,42,Tokyo,865
3,43,Niigata,13
3,43,Tokyo,909
3,44,Niigata,11
3,44,Tokyo,824
3,45,Niigata,7
3,45,Tokyo,845
3,46,Niigata,14
3,46,Tokyo,797
4,1,Niigata,408
4,1,Tokyo,6363
4,2,Niigata,385
4,2,Tokyo,5818
4,3,Niigata,387
4,3,Tokyo,6363
4,4,Niigata,377
4,4,Tokyo,6651
4,5,Niigata,424
4,5,Tokyo,4820
4,6,Niigata,401
4,6,Tokyo,4191
4,7,Niigata,319
4,7,Tokyo,4113
4,8,Niigata,389
4,8,Tokyo,4475
4,9,Niigata,448
4,9,Tokyo,4906
4,10,Niigata,349
4,10,Tokyo,4463
4,11,Niigata,329
4,11,Tokyo,3947
4,12,Niigata,281
4,12,Tokyo,3873
4,13,Niigata,327
4,13,Tokyo,4130
4,14,Niigata,318
4,14,Tokyo,4371
4,15,Niigata,266
4,15,Tokyo,3897
4,16,Niigata,293
4,16,Tokyo,4108
4,17,Niigata,292
4,17,Tokyo,4484
4,18,Niigata,220
4,18,Tokyo,4018
4,19,Niigata,285
4,19,Tokyo,4021
4,20,Niigata,260
4,20,Tokyo,4099
4,21,Niigata,269
4,21,Tokyo,3801
4,22,Niigata,304
4,22,Tokyo,4398
4,23,Niigata,238
4,23,Tokyo,3700
4,24,Niigata,271
4,24,Tokyo,3498
4,25,Niigata,264
4,25,Tokyo,3431
4,26,Niigata,260
4,26,Tokyo,3740
4,27,Niigata,273
4,27,Tokyo,3690
4,28,Niigata,235
4,28,Tokyo,3321
4,29,Niigata,261
4,29,Tokyo,3950
4,30,Niigata,307
4,30,Tokyo,3908
4,31,Niigata,312
4,31,Tokyo,4050
4,32,Niigata,245
4,32,Tokyo,3486
4,33,Niigata,231
4,33,Tokyo,3429
4,34,Niigata,266
4,34,Tokyo,3039
4,35,Niigata,322
4,35,Tokyo,3671
4,36,Niigata,350
4,36,Tokyo,3853
4,37,Niigata,331
4,37,Tokyo,3243
4,38,Niigata,261
4,38,Tokyo,3174
4,39,Niigata,281
4,39,Tokyo,3590
4,40,Niigata,322
4,40,Tokyo,3366
4,41,Niigata,271
4,41,Tokyo,3607
4,42,Niigata,314
4,42,Tokyo,3677
4,43,Niigata,301
4,43,Tokyo,3297
4,44,Niigata,234
4,44,Tokyo,3156
4,45,Niigata,230
4,45,Tokyo,3346
4,46,Niigata,243
4,46,Tokyo,3330
5,1,Niigata,713
5,1,Tokyo,3715
5,2,Niigata,750
5,2,Tokyo,3632
5,3,Niigata,729
5,3,Tokyo,3655
5,4,Niigata,788
5,4,Tokyo,3587
5,5,Niigata,710
5,5,Tokyo,3601
5,6,Niigata,715
5,6,Tokyo,3337
5,7,Niigata,636
5,7,Tokyo,3388
5,8,Niigata,690
5,8,Tokyo,3288
5,9,Niigata,648
5,9,Tokyo,3462
5,10,Niigata,712
5,10,Tokyo,3398
5,11,Niigata,609
5,11,Tokyo,3140
5,12,Niigata,614
5,12,Tokyo,3264
5,13,Niigata,708
5,13,Tokyo,3117
5,14,Niigata,704
5,14,Tokyo,3144
5,15,Niigata,708
5,15,Tokyo,3317
5,16,Niigata,770
5,16,Tokyo,3424
5,17,Niigata,713
5,17,Tokyo,3572
5,18,Niigata,644
5,18,Tokyo,3093
5,19,Niigata,744
5,19,Tokyo,3592
5,20,Niigata,695
5,20,Tokyo,3276
5,21,Niigata,661
5,21,Tokyo,3221
5,22,Niigata,737
5,22,Tokyo,3352
5,23,Niigata,738
5,23,Tokyo,3400
5,24,Niigata,709
5,24,Tokyo,3338
5,25,Niigata,704
5,25,Tokyo,3004
5,26,Niigata,700
5,26,Tokyo,3102
5,27,Niigata,670
5,27,Tokyo,3071
5,28,Niigata,560
5,28,Tokyo,2884
5,29,Niigata,614
5,29,Tokyo,2884
5,30,Niigata,576
5,30,Tokyo,2905
5,31,Niigata,632
5,31,Tokyo,3168
5,32,Niigata,502
5,32,Tokyo,2969
5,33,Niigata,583
5,33,Tokyo,3453
5,34,Niigata,588
5,34,Tokyo,3330
5,35,Niigata,636
5,35,Tokyo,3451
5,36,Niigata,623
5,36,Tokyo,3374
5,37,Niigata,618
5,37,Tokyo,3213
5,38,Niigata,613
5,38,Tokyo,3165
5,39,Niigata,586
5,39,Tokyo,3163
5,40,Niigata,596
5,40,Tokyo,2990
5,41,Niigata,644
5,41,Tokyo,3250
5,42,Niigata,619
5,42,Tokyo,3021
5,43,Niigata,638
5,43,Tokyo,3097
5,44,Niigata,575
5,44,Tokyo,2883
5,45,Niigata,675
5,45,Tokyo,2780
5,46,Niigata,684
5,46,Tokyo,2679
6,2,Niigata,2
6,2,Tokyo,2
6,3,Tokyo,1
6,4,Niigata,1
6,4,Tokyo,2
6,5,Niigata,3
6,5,Tokyo,3
6,6,Niigata,1
6,6,Tokyo,3
6,7,Tokyo,2
6,8,Tokyo,2
6,10,Tokyo,5
6,13,Niigata,1
6,13,Tokyo,1
6,14,Niigata,1
6,14,Tokyo,1
6,15,Niigata,2
6,15,Tokyo,1
6,16,Tokyo,1
6,19,Niigata,1
6,21,Tokyo,3
6,23,Tokyo,1
6,24,Tokyo,1
6,25,Tokyo,1
6,26,Niigata,1
6,27,Niigata,1
6,28,Niigata,2
6,28,Tokyo,3
6,29,Tokyo,1
6,32,Tokyo,1
6,33,Niigata,1
6,33,Tokyo,2
6,34,Tokyo,1
6,35,Tokyo,1
6,36,Tokyo,1
6,38,Tokyo,2
6,40,Niigata,1
6,42,Tokyo,2
6,43,Tokyo,1
6,44,Tokyo,1
6,45,Niigata,1
6,45,Tokyo,3
6,46,Tokyo,2
7,1,Niigata,20
7,2,Niigata,23
7,3,Niigata,39
7,3,Tokyo,2
7,4,Niigata,40
7,4,Tokyo,1
7,5,Niigata,56
7,6,Niigata,94
7,6,Tokyo,3
7,7,Niigata,74
7,7,Tokyo,3
7,8,Niigata,64
7,8,Tokyo,3
7,9,Niigata,64
7,9,Tokyo,2
7,10,Niigata,64
7,10,Tokyo,3
7,11,Niigata,60
7,11,Tokyo,1
7,12,Niigata,40
7,12,Tokyo,4
7,13,Niigata,57
7,13,Tokyo,2
7,14,Niigata,65
7,14,Tokyo,1
7,15,Niigata,48
7,15,Tokyo,1
7,16,Niigata,52
7,16,Tokyo,3
7,17,Niigata,48
7,17,Tokyo,2
7,18,Niigata,68
7,18,Tokyo,4
7,19,Niigata,53
7,19,Tokyo,3
7,20,Niigata,47
7,20,Tokyo,5
7,21,Niigata,45
7,21,Tokyo,4
7,22,Niigata,43
7,22,Tokyo,7
7,23,Niigata,40
7,23,Tokyo,2
7,24,Niigata,53
7,24,Tokyo,5
7,25,Niigata,42
7,25,Tokyo,2
7,26,Niigata,39
7,27,Niigata,55
7,27,Tokyo,2
7,28,Niigata,43
7,29,Niigata,36
7,30,Niigata,30
7,30,Tokyo,2
7,31,Niigata,51
7,31,Tokyo,3
7,32,Niigata,50
7,32,Tokyo,1
7,33,Niigata,67
7,33,Tokyo,2
7,34,Niigata,47
7,34,Tokyo,1
7,35,Niigata,55
7,35,Tokyo,1
7,36,Niigata,41
7,36,Tokyo,8
7,37,Niigata,37
7,37,Tokyo,5
7,38,Niigata,46
7,38,Tokyo,6
7,39,Niigata,51
7,39,Tokyo,4
7,40,Niigata,49
7,40,Tokyo,7
7,41,Niigata,46
7,41,Tokyo,3
7,42,Niigata,44
7,42,Tokyo,4
7,43,Niigata,29
7,43,Tokyo,4
7,44,Niigata,23
7,44,Tokyo,1
7,45,Niigata,14
7,45,Tokyo,7
7,46,Niigata,9
7,46,Tokyo,3
8,1,Niigata,93
8,1,Tokyo,671
8,2,Niigata,87
8,2,Tokyo,672
8,3,Niigata,93
8,3,Tokyo,675
8,4,Niigata,85
8,4,Tokyo,674
8,5,Niigata,118
8,5,Tokyo,670
8,6,Niigata,168
8,6,Tokyo,691
8,7,Niigata,162
8,7,Tokyo,524
8,8,Niigata,133
8,8,Tokyo,526
8,9,Niigata,149
8,9,Tokyo,554
8,10,Niigata,159
8,10,Tokyo,542
8,11,Niigata,142
8,11,Tokyo,503
8,12,Niigata,112
8,12,Tokyo,509
8,13,Niigata,116
8,13,Tokyo,519
8,14,Niigata,138
8,14,Tokyo,554
8,15,Niigata,126
8,15,Tokyo,547
8,16,Niigata,125
8,16,Tokyo,497
8,17,Niigata,120
8,17,Tokyo,488
8,18,Niigata,135
8,18,Tokyo,498
8,19,Niigata,186
8,19,Tokyo,539
8,20,Niigata,191
8,20,Tokyo,543
8,21,Niigata,135
8,21,Tokyo,456
8,22,Niigata,118
8,22,Tokyo,448
8,23,Niigata,102
8,23,Tokyo,483
8,24,Niigata,108
8,24,Tokyo,431
8,25,Niigata,101
8,25,Tokyo,370
8,26,Niigata,87
8,26,Tokyo,332
8,27,Niigata,110
8,27,Tokyo,306
8,28,Niigata,91
8,28,Tokyo,312
8,29,Niigata,87
8,29,Tokyo,313
8,30,Niigata,77
8,30,Tokyo,350
8,31,Niigata,93
8,31,Tokyo,322
