category_min_id,week_num,region,media_cnt
1,1,Tokyo,139
1,2,Tokyo,145
1,3,Tokyo,160
1,4,Tokyo,160
1,5,Tokyo,165
1,6,Tokyo,156
1,7,Tokyo,150
1,8,Tokyo,149
1,9,Tokyo,145
1,10,Tokyo,145
1,11,Tokyo,143
1,12,Tokyo,194
1,13,Tokyo,151
1,14,Tokyo,174
1,15,Tokyo,173
1,16,Tokyo,165
1,17,Tokyo,171
1,18,Tokyo,143
1,19,Tokyo,158
1,20,Tokyo,172
1,21,Tokyo,173
1,22,Tokyo,185
1,23,Tokyo,189
1,24,Tokyo,179
1,25,Tokyo,169
1,26,Tokyo,164
1,27,Tokyo,161
1,28,Tokyo,163
1,29,Tokyo,162
1,30,Tokyo,143
1,31,Tokyo,148
1,32,Tokyo,128
1,33,Tokyo,133
1,34,Tokyo,153
1,35,Tokyo,151
1,36,Tokyo,149
1,37,Tokyo,147
1,38,Tokyo,143
1,39,Tokyo,161
1,40,Tokyo,156
1,41,Tokyo,151
1,42,Tokyo,141
1,43,Tokyo,143
1,44,Tokyo,133
1,45,Tokyo,139
1,46,Tokyo,145
2,1,Niigata,552
2,1,Tokyo,1340
2,2,Niigata,523
2,2,Tokyo,1204
2,3,Niigata,472
2,3,Tokyo,1150
2,4,Niigata,474
2,4,Tokyo,1124
2,5,Niigata,457
2,5,Tokyo,1085
2,6,Niigata,448
2,6,Tokyo,1070
2,7,Niigata,442
2,7,Tokyo,1018
2,8,Niigata,439
2,8,Tokyo,1003
2,9,Niigata,437
2,9,Tokyo,1004
2,10,Niigata,433
2,10,Tokyo,982
2,11,Niigata,402
2,11,Tokyo,962
2,12,Niigata,508
2,12,Tokyo,1207
2,13,Niigata,409
2,13,Tokyo,937
2,14,Niigata,388
2,14,Tokyo,983
2,15,Niigata,393
2,15,Tokyo,954
2,16,Niigata,370
2,16,Tokyo,942
2,17,Niigata,399
2,17,Tokyo,940
2,18,Niigata,384
2,18,Tokyo,936
2,19,Niigata,369
2,19,Tokyo,975
2,20,Niigata,373
2,20,Tokyo,953
2,21,Niigata,352
2,21,Tokyo,910
2,22,Niigata,327
2,22,Tokyo,907
2,23,Niigata,341
2,23,Tokyo,881
2,24,Niigata,357
2,24,Tokyo,904
2,25,Niigata,368
2,25,Tokyo,930
2,26,Niigata,345
