category_low_id,category_low_name
1000,FX
1001,金融商品取引
1002,商品先物取引（CX）
1003,投資信託
1100,キャッシング
1101,クレジットカード
1102,ローン
1201,生命保険
1202,損害保険
1999,その他金融
2000,アクセサリー
2001,ファッション
2100,コスメ・基礎化粧品
2200,ＡＶ・家電・楽器
2201,PC・ソフトウェア・周辺機器
2202,雑貨・インテリア
2203,日用品
2204,美容・健康関連
2300,健康食品・サプリ
2301,デリバリーサービス
2302,飲食品
2400,TV通販・カタログ通販
2401,スーパー・百貨店・モール
2900,スポーツ
2901,映画・音楽
2902,玩具
2903,自動車・パーツ
2904,書籍
2999,その他Eコマース
3000,コンテンツ（SNS･ﾎﾟｲﾝﾄ･ﾎﾟｰﾀﾙ･懸賞･ｸﾞﾙﾒ）
3099,その他エンターテインメント
3100,着うた・着うたフル（公式）
3101,デコメ・メール（公式）
3102,生活・便利（公式）
3103,天気・ニュース（公式）
3104,趣味・娯楽（公式）
3105,きせかえ・待受け（公式）
3106,旅行（公式）
3107,地図・交通・乗換（公式）
3108,ゲーム（公式）
3109,占い（公式）
3110,電子書籍（公式）
3111,懸賞（公式）
3199,その他公式月額課金
3200,RPG
3201,アクションゲーム
3202,カードゲーム（麻雀含む）
3203,スポーツゲーム
3299,その他オンラインゲーム
4000,プロバイダ
4001,レンタルサーバ
4099,その他ネットビジネス・オンラインサービス
4100,学生向け教育ビジネス
4101,通信教育・資格取得
4199,その他教育ビジネス
4200,結婚情報サービス
4300,職業紹介業
4301,アルバイト
4302,人材派遣業
4399,その他人材ビジネス
4400,エステ・サロン
4401,リラクゼーション・健康系
4500,旅行ビジネス
4900,モニター・リサーチ
4901,BtoB・ネット広告・集客支援
4999,その他サービス
9000,眼科
9001,整形・形成外科・その他医療
9100,建設・不動産関連
9200,自動車関連
9999,その他
