category_low_id	category_low_name	category_mid_id	category_mid_name	category_hi_id	category_hi_name
1000	FX	10	金融取引業	1	金融・保険
1001	金融商品取引	10	金融取引業	1	金融・保険
1002	商品先物取引（CX）	10	金融取引業	1	金融・保険
1003	投資信託	10	金融取引業	1	金融・保険
1100	キャッシング	11	消費者信用（貸金業）	1	金融・保険
1101	クレジットカード	11	消費者信用（貸金業）	1	金融・保険
1102	ローン	11	消費者信用（貸金業）	1	金融・保険
1201	生命保険	12	保険	1	金融・保険
1202	損害保険	12	保険	1	金融・保険
1999	その他金融	19	その他金融	1	金融・保険
2000	アクセサリー	20	アパレル・アクセサリー	2	Eコマース
2001	ファッション	20	アパレル・アクセサリー	2	Eコマース
2100	コスメ・基礎化粧品	21	化粧品・トイレタリー	2	Eコマース
2200	ＡＶ・家電・楽器	22	家具・家電・家庭用品	2	Eコマース
2201	PC・ソフトウェア・周辺機器	22	家具・家電・家庭用品	2	Eコマース
2202	雑貨・インテリア	22	家具・家電・家庭用品	2	Eコマース
2203	日用品	22	家具・家電・家庭用品	2	Eコマース
2204	美容・健康関連	22	家具・家電・家庭用品	2	Eコマース
2300	健康食品・サプリ	23	食料品	2	Eコマース
2301	デリバリーサービス	23	食料品	2	Eコマース
2302	飲食品	23	食料品	2	Eコマース
2400	TV通販・カタログ通販	24	総合小売	2	Eコマース
2401	スーパー・百貨店・モール	24	総合小売	2	Eコマース
2900	スポーツ	29	その他Eコマース	2	Eコマース
2901	映画・音楽	29	その他Eコマース	2	Eコマース
2902	玩具	29	その他Eコマース	2	Eコマース
2903	自動車・パーツ	29	その他Eコマース	2	Eコマース
2904	書籍	29	その他Eコマース	2	Eコマース
2999	その他Eコマース	29	その他Eコマース	2	Eコマース
3000	コンテンツ（SNS･ﾎﾟｲﾝﾄ･ﾎﾟｰﾀﾙ･懸賞･ｸﾞﾙﾒ）	30	エンターテインメント	3	エンターテインメント
3099	その他エンターテインメント	30	エンターテインメント	3	エンターテインメント
3100	着うた・着うたフル（公式）	31	公式月額課金	3	エンターテインメント
3101	デコメ・メール（公式）	31	公式月額課金	3	エンターテインメント
3102	生活・便利（公式）	31	公式月額課金	3	エンターテインメント
3103	天気・ニュース（公式）	31	公式月額課金	3	エンターテインメント
3104	趣味・娯楽（公式）	31	公式月額課金	3	エンターテインメント
3105	きせかえ・待受け（公式）	31	公式月額課金	3	エンターテインメント
3106	旅行（公式）	31	公式月額課金	3	エンターテインメント
3107	地図・交通・乗換（公式）	31	公式月額課金	3	エンターテインメント
3108	ゲーム（公式）	31	公式月額課金	3	エンターテインメント
3109	占い（公式）	31	公式月額課金	3	エンターテインメント
3110	電子書籍（公式）	31	公式月額課金	3	エンターテインメント
3111	懸賞（公式）	31	公式月額課金	3	エンターテインメント
3199	その他公式月額課金	31	公式月額課金	3	エンターテインメント
3200	RPG	32	オンラインゲーム	3	エンターテインメント
3201	アクションゲーム	32	オンラインゲーム	3	エンターテインメント
3202	カードゲーム（麻雀含む）	32	オンラインゲーム	3	エンターテインメント
3203	スポーツゲーム	32	オンラインゲーム	3	エンターテインメント
3299	その他オンラインゲーム	32	オンラインゲーム	3	エンターテインメント
4000	プロバイダ	40	ネットビジネス	4	サービス業
4001	レンタルサーバ	40	ネットビジネス	4	サービス業
4099	その他ネットビジネス・オンラインサービス	40	ネットビジネス	4	サービス業
4100	学生向け教育ビジネス	41	教育ビジネス	4	サービス業
4101	通信教育・資格取得	41	教育ビジネス	4	サービス業
4199	その他教育ビジネス	41	教育ビジネス	4	サービス業
4200	結婚情報サービス	42	結婚情報サービス	4	サービス業
4300	職業紹介業	43	人材ビジネス	4	サービス業
4301	アルバイト	43	人材ビジネス	4	サービス業
4302	人材派遣業	43	人材ビジネス	4	サービス業
4399	その他人材ビジネス	43	人材ビジネス	4	サービス業
4400	エステ・サロン	44	美容	4	サービス業
4401	リラクゼーション・健康系	44	美容	4	サービス業
4500	旅行ビジネス	45	旅行ビジネス	4	サービス業
4900	モニター・リサーチ	49	その他サービス	4	サービス業
4901	BtoB・ネット広告・集客支援	49	その他サービス	4	サービス業
4999	その他サービス	49	その他サービス	4	サービス業
9000	眼科	90	医療	9	その他
9001	整形・形成外科・その他医療	90	医療	9	その他
9100	建設・不動産関連	91	建設・不動産関連	9	その他
9200	自動車関連	92	自動車	9	その他
9999	その他	99	その他	9	その他
