category_low_id,week_num,cl_uu
1000,1,24596
1000,2,26427
1000,3,25101
1000,4,26278
1000,5,24942
1000,6,25291
1000,7,23462
1000,8,19456
1000,9,19634
1000,10,19204
1000,11,17907
1000,12,18675
1000,13,18046
1000,14,19444
1000,15,22034
1000,16,18281
1000,17,18874
1000,18,19332
1000,19,20271
1000,20,20406
1000,21,17368
1000,22,18318
1000,23,18475
1000,24,17374
1000,25,16842
1000,26,17569
1000,27,19492
1000,28,18732
1000,29,18665
1000,30,18168
1000,31,19828
1000,32,19173
1000,33,19745
1000,34,21874
1000,35,21311
1000,36,21646
1000,37,21948
1000,38,23683
1000,39,21961
1000,40,22809
1000,41,22975
1000,42,22470
1000,43,21422
1000,44,18986
1000,45,25479
1001,1,54112
1001,2,53828
1001,3,55650
1001,4,57768
1001,5,55922
1001,6,57985
1001,7,64899
1001,8,66801
1001,9,59488
1001,10,58537
1001,11,58899
1001,12,67486
1001,13,66264
1001,14,51325
1001,15,44089
1001,16,47224
1001,17,45093
1001,18,42621
1001,19,53759
1001,20,54099
1001,21,57423
1001,22,58169
1001,23,61889
1001,24,61094
1001,25,64871
1001,26,67974
1001,27,56313
1001,28,51424
1001,29,50997
1001,30,56585
1001,31,48556
1001,32,43733
1001,33,59295
1001,34,53548
1001,35,54840
1001,36,50677
1001,37,56067
1001,38,54669
1001,39,56085
1001,40,45963
1001,41,47109
1001,42,48063
1001,43,49484
1001,44,44068
1001,45,49355
1002,1,45
1002,2,33
1002,3,39
1002,4,59
1002,5,40
1002,6,47
1002,7,44
1002,8,53
1002,9,66
1002,10,61
1002,11,60
1002,12,51
1002,13,46
1002,14,28
1002,15,29
1002,16,70
1002,17,72
1002,18,43
1002,19,71
1002,20,70
1002,21,58
1002,22,46
1002,23,63
1002,24,62
1002,25,57
1002,26,56
1002,27,96
1002,28,121
1002,29,92
1002,30,108
1002,31,95
1002,32,91
1002,33,89
1002,34,77
1002,35,77
1002,36,81
1002,37,74
1002,38,75
1002,39,78
1002,40,86
1002,41,105
1002,42,90
1002,43,83
1002,44,106
1002,45,88
1003,1,4665
1003,2,3538
1003,3,4182
1003,4,3638
1003,5,4764
1003,6,4996
1003,7,16249
1003,8,10989
1003,9,7220
1003,10,7390
1003,11,5665
1003,12,4759
1003,13,4642
1003,14,3849
1003,15,3532
1003,16,3503
1003,17,8479
1003,18,3808
1003,19,4499
1003,20,4376
1003,21,4252
1003,22,4319
1003,23,4411
1003,24,4748
1003,25,5222
1003,26,5029
1003,27,4964
1003,28,4505
1003,29,4726
1003,30,5452
1003,31,4419
1003,32,4640
1003,33,5794
1003,34,5127
1003,35,5629
1003,36,4448
1003,37,5166
1003,38,5224
1003,39,4730
1003,40,5608
1003,41,5164
1003,42,6060
1003,43,6004
1003,44,6349
1003,45,6413
1100,1,21034
1100,2,20051
1100,3,18988
1100,4,17260
1100,5,18724
1100,6,16499
1100,7,14705
1100,8,15866
1100,9,15621
1100,10,14409
1100,11,14148
1100,12,14843
1100,13,14064
1100,14,17187
1100,15,15132
1100,16,14525
1100,17,13986
1100,18,15919
1100,19,19173
1100,20,17780
1100,21,16119
1100,22,16313
1100,23,14926
1100,24,14731
1100,25,13035
1100,26,12445
1100,27,12472
1100,28,10974
1100,29,10474
1100,30,10472
1100,31,12888
1100,32,12576
1100,33,12648
1100,34,11328
1100,35,13522
1100,36,16645
1100,37,12374
1100,38,11470
1100,39,13465
1100,40,15336
1100,41,13225
1100,42,12544
1100,43,11597
1100,44,12751
1100,45,13663
1101,1,188963
1101,2,184649
1101,3,168390
1101,4,219053
1101,5,211728
1101,6,205979
1101,7,231337
1101,8,248789
1101,9,226285
1101,10,213587
1101,11,210165
1101,12,225737
1101,13,221734
1101,14,234886
1101,15,234973
1101,16,193981
1101,17,136326
1101,18,166804
1101,19,177362
1101,20,168908
1101,21,101366
1101,22,131033
1101,23,158451
1101,24,208250
1101,25,209029
1101,26,206347
1101,27,187507
1101,28,158596
1101,29,156392
1101,30,166613
1101,31,163328
1101,32,161306
1101,33,169870
1101,34,162161
1101,35,155843
1101,36,162363
1101,37,158855
1101,38,161222
1101,39,156948
1101,40,158149
1101,41,165203
1101,42,158751
1101,43,156943
1101,44,144043
1101,45,154051
1102,1,12278
1102,2,11974
1102,3,7757
1102,4,8202
1102,5,9304
1102,6,8393
1102,7,7825
1102,8,7518
1102,9,7671
1102,10,6749
1102,11,5785
1102,12,5976
1102,13,6223
1102,14,6500
1102,15,5580
1102,16,5114
1102,17,5082
1102,18,5535
1102,19,6775
1102,20,7136
1102,21,6243
1102,22,7143
1102,23,6879
1102,24,6872
1102,25,7545
1102,26,7342
1102,27,6411
1102,28,6263
1102,29,6159
1102,30,6220
1102,31,6587
1102,32,5683
1102,33,6599
1102,34,6556
1102,35,6826
1102,36,8258
1102,37,8417
1102,38,8314
1102,39,7678
1102,40,8075
1102,41,7925
1102,42,6612
1102,43,5779
1102,44,6495
1102,45,5997
1201,1,1489
1201,2,1972
1201,3,2305
1201,4,2374
1201,5,2289
1201,6,2421
1201,7,2741
1201,8,3305
1201,9,2605
1201,10,2560
1201,11,2764
1201,12,2869
1201,13,2241
1201,14,1516
1201,15,1406
1201,16,1236
1201,17,1098
1201,18,1069
1201,19,1552
1201,20,1582
1201,21,1583
1201,22,1621
1201,23,1905
1201,24,1784
1201,25,1772
1201,26,1873
1201,27,1615
1201,28,1567
1201,29,1550
1201,30,1552
1201,31,1345
1201,32,1193
1201,33,1446
1201,34,1565
1201,35,1529
1201,36,1316
1201,37,1215
1201,38,1294
1201,39,1663
1201,40,1349
1201,41,1156
1201,42,1138
1201,43,1224
1201,44,1130
1201,45,1247
1202,1,618
1202,2,757
1202,3,1346
1202,4,1489
1202,5,1328
1202,6,1445
1202,7,1480
1202,8,1730
1202,9,1854
1202,10,1911
1202,11,2248
1202,12,2198
1202,13,2197
1202,14,2184
1202,15,1986
1202,16,1994
1202,17,1627
1202,18,1718
1202,19,1942
1202,20,1801
1202,21,1508
1202,22,1775
1202,23,1497
1202,24,1239
1202,25,1247
1202,26,1047
1202,27,1056
1202,28,1043
1202,29,990
1202,30,1013
1202,31,1007
1202,32,897
1202,33,1103
1202,34,1150
1202,35,1132
1202,36,1135
1202,37,1004
1202,38,1012
1202,39,1106
1202,40,1089
1202,41,1026
1202,42,882
1202,43,811
1202,44,752
1202,45,773
1999,1,501
1999,2,642
1999,3,571
1999,4,630
1999,5,619
1999,6,939
1999,7,1308
1999,8,990
1999,9,518
1999,10,554
1999,11,541
1999,12,619
1999,13,457
1999,14,1165
1999,15,699
1999,16,1095
1999,17,722
1999,18,826
1999,19,1161
1999,20,1022
1999,21,2175
1999,22,1780
1999,23,2149
1999,24,1641
1999,25,1115
1999,26,1007
1999,27,1383
1999,28,1829
1999,29,1838
1999,30,2918
1999,31,3136
1999,32,3381
1999,33,2688
1999,34,2984
1999,35,4648
1999,36,6185
1999,37,7155
1999,38,5506
1999,39,5423
1999,40,5237
1999,41,7061
1999,42,7547
1999,43,7768
1999,44,9111
1999,45,13108
2000,1,17767
2000,2,16301
2000,3,16619
2000,4,15634
2000,5,18193
2000,6,18459
2000,7,16596
2000,8,18028
2000,9,18911
2000,10,18411
2000,11,18081
2000,12,16497
2000,13,14993
2000,14,16981
2000,15,13756
2000,16,13616
2000,17,12619
2000,18,13910
2000,19,12533
2000,20,12078
2000,21,11650
2000,22,11857
2000,23,13226
2000,24,13233
2000,25,14352
2000,26,14637
2000,27,14357
2000,28,16022
2000,29,17551
2000,30,17475
2000,31,18113
2000,32,14070
2000,33,14815
2000,34,13897
2000,35,14933
2000,36,18558
2000,37,18762
2000,38,18375
2000,39,18995
2000,40,20400
2000,41,20996
